pl_name,hostname,sys_name,discoverymethod,disc_year,pl_rade,pl_bmasse,sy_dist,disc_facility
Kepler-1698 b,Kepler-1698,Kepler-1698,Transit,2020,1.073,1.25,222.345,Kepler
Kepler-1699 b,Kepler-1699,Kepler-1699,Transit,2020,1.567,3.08,818.759,Kepler
Kepler-17 b,Kepler-17,Kepler-17,Transit,2011,14.68,778.65,720.753,Kepler
Kepler-1700 b,Kepler-1700,Kepler-1700,Transit,2020,2.901,8.76,717.597,Kepler
Kepler-1701 b,Kepler-1701,Kepler-1701,Transit,2020,2.222,5.57,584.142,Kepler
Kepler-1702 b,Kepler-1702,Kepler-1702,Transit,2020,1.602,3.2,857.14,Kepler
Kepler-1704 b,Kepler-1704,Kepler-1704,Transit,2013,11.949,1322.16617,835.455,Kepler
Kepler-1708 b,Kepler-1708,Kepler-1708,Transit,2021,9.96,1462.01067,1666.69,Kepler
Kepler-1709 b,Kepler-1709,Kepler-1709,Transit,2021,3.124,9.93,273.946,Kepler
Kepler-1710 b,Kepler-1710,Kepler-1710,Transit,2021,3.197,10.3,305.193,Kepler
Kepler-1711 b,Kepler-1711,Kepler-1711,Transit,2021,1.923,4.36,590.268,Kepler
Kepler-1712 b,Kepler-1712,Kepler-1712,Transit,2021,2.284,5.83,156.264,Kepler
Kepler-1713 b,Kepler-1713,Kepler-1713,Transit,2021,1.717,3.59,295.293,Kepler
Kepler-1714 b,Kepler-1714,Kepler-1714,Transit,2021,3.264,10.7,409.46,Kepler
Kepler-1715 b,Kepler-1715,Kepler-1715,Transit,2021,4.14,16,522.605,Kepler
Kepler-1716 b,Kepler-1716,Kepler-1716,Transit,2021,2.425,6.46,195.439,Kepler
Kepler-1717 b,Kepler-1717,Kepler-1717,Transit,2021,2.989,9.21,1008.79,Kepler
Kepler-1718 b,Kepler-1718,Kepler-1718,Transit,2021,2.569,7.12,375.522,Kepler
Kepler-1719 b,Kepler-1719,Kepler-1719,Transit,2021,3.95,14.8,905.406,Kepler
Kepler-1720 b,Kepler-1720,Kepler-1720,Transit,2021,3.216,10.4,629.445,Kepler
Kepler-1721 b,Kepler-1721,Kepler-1721,Transit,2021,3.119,9.9,641.374,Kepler
Kepler-1722 b,Kepler-1722,Kepler-1722,Transit,2021,2.867,8.58,772.283,Kepler
Kepler-1723 b,Kepler-1723,Kepler-1723,Transit,2021,2.88,8.65,811.278,Kepler
Kepler-1724 b,Kepler-1724,Kepler-1724,Transit,2021,2.837,8.43,1060.77,Kepler
Kepler-1725 b,Kepler-1725,Kepler-1725,Transit,2021,2.813,8.31,558.652,Kepler
Kepler-1726 b,Kepler-1726,Kepler-1726,Transit,2021,2.509,6.84,390.552,Kepler
Kepler-1727 b,Kepler-1727,Kepler-1727,Transit,2021,3.173,10.2,894.187,Kepler
Kepler-1728 b,Kepler-1728,Kepler-1728,Transit,2021,2.955,9.04,651.783,Kepler
Kepler-1729 b,Kepler-1729,Kepler-1729,Transit,2021,3.894,14.4,576.181,Kepler
Kepler-1730 b,Kepler-1730,Kepler-1730,Transit,2021,4.485,18.4,1427.08,Kepler
Kepler-1731 b,Kepler-1731,Kepler-1731,Transit,2021,2.933,8.92,169.948,Kepler
Kepler-1732 b,Kepler-1732,Kepler-1732,Transit,2021,4.099,15.7,1289.41,Kepler
Kepler-1733 b,Kepler-1733,Kepler-1733,Transit,2021,3.636,12.8,2080.51,Kepler
Kepler-1734 b,Kepler-1734,Kepler-1734,Transit,2021,3.089,9.74,1482.83,Kepler
Kepler-1735 b,Kepler-1735,Kepler-1735,Transit,2021,1.194,1.84,245.303,Kepler
Kepler-1736 b,Kepler-1736,Kepler-1736,Transit,2021,3.877,14.3,1430,Kepler
Kepler-1737 b,Kepler-1737,Kepler-1737,Transit,2021,5.395,25.1,,Kepler
Kepler-1738 b,Kepler-1738,Kepler-1738,Transit,2021,2.825,8.37,1302.87,Kepler
Kepler-1739 b,Kepler-1739,Kepler-1739,Transit,2021,2.431,6.48,783.666,Kepler
Kepler-1740 b,Kepler-1740,Kepler-1740,Transit,2021,3.323,11,1061.77,Kepler
Kepler-1741 b,Kepler-1741,Kepler-1741,Transit,2021,1.273,2.16,270.739,Kepler
Kepler-1742 b,Kepler-1742,Kepler-1742,Transit,2021,2.178,5.38,669.573,Kepler
Kepler-1743 b,Kepler-1743,Kepler-1743,Transit,2021,1.599,3.18,538.807,Kepler
Kepler-1744 b,Kepler-1744,Kepler-1744,Transit,2021,3.768,13.6,1091.63,Kepler
Kepler-1745 b,Kepler-1745,Kepler-1745,Transit,2021,1.929,4.38,996.105,Kepler
Kepler-1746 b,Kepler-1746,Kepler-1746,Transit,2021,8.935,59.1,979.541,Kepler
Kepler-1747 b,Kepler-1747,Kepler-1747,Transit,2021,4.265,16.8,1321.38,Kepler
Kepler-1748 b,Kepler-1748,Kepler-1748,Transit,2021,2.713,7.81,1083.28,Kepler
Kepler-1749 b,Kepler-1749,Kepler-1749,Transit,2021,1.613,3.23,268.2,Kepler
Kepler-1750 b,Kepler-1750,Kepler-1750,Transit,2021,6.004,30.1,1497.33,Kepler
Kepler-1751 b,Kepler-1751,Kepler-1751,Transit,2021,1.824,3.98,1291.47,Kepler
Kepler-1752 b,Kepler-1752,Kepler-1752,Transit,2021,4.541,18.7,962.888,Kepler
Kepler-1753 b,Kepler-1753,Kepler-1753,Transit,2021,2.227,5.59,707.688,Kepler
Kepler-1754 b,Kepler-1754,Kepler-1754,Transit,2021,2.44,6.53,718.945,Kepler
Kepler-1755 b,Kepler-1755,Kepler-1755,Transit,2021,5.917,29.4,982.383,Kepler
Kepler-1756 b,Kepler-1756,Kepler-1756,Transit,2021,1.472,2.77,,Kepler
Kepler-1757 b,Kepler-1757,Kepler-1757,Transit,2021,2.947,8.99,807.308,Kepler
Kepler-1758 b,Kepler-1758,Kepler-1758,Transit,2021,2.571,7.13,1588.41,Kepler
Kepler-1759 b,Kepler-1759,Kepler-1759,Transit,2021,0.904,0.676,385.348,Kepler
Kepler-1760 b,Kepler-1760,Kepler-1760,Transit,2021,2.29,5.86,,Kepler
Kepler-1761 b,Kepler-1761,Kepler-1761,Transit,2021,1.391,2.51,221.186,Kepler
Kepler-1762 b,Kepler-1762,Kepler-1762,Transit,2021,2.76,8.05,1663.74,Kepler
Kepler-1763 b,Kepler-1763,Kepler-1763,Transit,2021,1.147,1.59,756.486,Kepler
Kepler-1764 b,Kepler-1764,Kepler-1764,Transit,2021,4.555,18.8,1542.48,Kepler
Kepler-1765 b,Kepler-1765,Kepler-1765,Transit,2021,2.495,6.78,764.456,Kepler
Kepler-1766 b,Kepler-1766,Kepler-1766,Transit,2021,2.279,5.81,501.229,Kepler
Kepler-1767 b,Kepler-1767,Kepler-1767,Transit,2021,3.013,9.34,820.506,Kepler
Kepler-1768 b,Kepler-1768,Kepler-1768,Transit,2021,2.233,5.62,632.766,Kepler
Kepler-1769 b,Kepler-1769,Kepler-1769,Transit,2021,4.465,18.2,438.412,Kepler
Kepler-1770 b,Kepler-1770,Kepler-1770,Transit,2021,2.841,8.45,582.942,Kepler
Kepler-1771 b,Kepler-1771,Kepler-1771,Transit,2021,4.055,15.5,565.752,Kepler
Kepler-1772 b,Kepler-1772,Kepler-1772,Transit,2021,2.686,7.68,871.564,Kepler
Kepler-1773 b,Kepler-1773,Kepler-1773,Transit,2021,3.505,12.1,681.255,Kepler
Kepler-1774 b,Kepler-1774,Kepler-1774,Transit,2021,3.182,10.2,816.592,Kepler
Kepler-1775 b,Kepler-1775,Kepler-1775,Transit,2021,3.648,12.9,657.023,Kepler
Kepler-1776 b,Kepler-1776,Kepler-1776,Transit,2021,2.612,7.33,690.336,Kepler
Kepler-1777 b,Kepler-1777,Kepler-1777,Transit,2021,2.132,5.19,619.146,Kepler
Kepler-1778 b,Kepler-1778,Kepler-1778,Transit,2021,3.017,9.36,1276.29,Kepler
Kepler-1779 b,Kepler-1779,Kepler-1779,Transit,2021,3.033,9.44,908.501,Kepler
Kepler-1780 b,Kepler-1780,Kepler-1780,Transit,2021,3.606,12.7,790.516,Kepler
Kepler-1781 b,Kepler-1781,Kepler-1781,Transit,2021,2.381,6.26,962.63,Kepler
Kepler-1782 b,Kepler-1782,Kepler-1782,Transit,2021,2.229,5.6,305.792,Kepler
